method	metric	value	signal_strength	rep
Leaf_BH_1	power	1	2.5	9
Leaf_BH_2	power	9	2.5	9
Leaf_BH_3	power	3	2.5	9
Focused_BH_original	fdp	0.18181818181818182	2.5	9
Leaf_BH_1	fdp	0	2.5	9
Leaf_BH_2	fdp	0	2.5	9
Leaf_BH_3	fdp	0	2.5	9
Focused_BH_original	power	10	2.5	22
Leaf_BH_1	power	0	2.5	22
Leaf_BH_2	power	10	2.5	22
Leaf_BH_3	power	4	2.5	22
Focused_BH_original	fdp	0	2.5	22
Leaf_BH_1	fdp	0	2.5	22
Leaf_BH_2	fdp	0	2.5	22
Leaf_BH_3	fdp	0	2.5	22
Focused_BH_original	power	10	2.5	35
Leaf_BH_1	power	0	2.5	35
Leaf_BH_2	power	10	2.5	35
Leaf_BH_3	power	7	2.5	35
Focused_BH_original	fdp	0.09090909090909091	2.5	35
Leaf_BH_1	fdp	0	2.5	35
Leaf_BH_2	fdp	0.16666666666666666	2.5	35
Leaf_BH_3	fdp	0.3	2.5	35
Focused_BH_original	power	9	2.5	48
Leaf_BH_1	power	1	2.5	48
Leaf_BH_2	power	10	2.5	48
Leaf_BH_3	power	6	2.5	48
Focused_BH_original	fdp	0.1	2.5	48
Leaf_BH_1	fdp	0.5	2.5	48
Leaf_BH_2	fdp	0.09090909090909091	2.5	48
Leaf_BH_3	fdp	0.25	2.5	48
Focused_BH_original	power	12	2.5	61
Leaf_BH_1	power	7	2.5	61
Leaf_BH_2	power	10	2.5	61
Leaf_BH_3	power	5	2.5	61
Focused_BH_original	fdp	0.25	2.5	61
Leaf_BH_1	fdp	0.3	2.5	61
Leaf_BH_2	fdp	0	2.5	61
Leaf_BH_3	fdp	0	2.5	61
Focused_BH_original	power	11	2.5	74
Leaf_BH_1	power	5	2.5	74
Leaf_BH_2	power	10	2.5	74
Leaf_BH_3	power	6	2.5	74
Focused_BH_original	fdp	0.08333333333333333	2.5	74
Leaf_BH_1	fdp	0	2.5	74
Leaf_BH_2	fdp	0.16666666666666666	2.5	74
Leaf_BH_3	fdp	0	2.5	74
Focused_BH_original	power	11	2.5	87
Leaf_BH_1	power	3	2.5	87
Leaf_BH_2	power	10	2.5	87
Leaf_BH_3	power	4	2.5	87
Focused_BH_original	fdp	0	2.5	87
Leaf_BH_1	fdp	0	2.5	87
Leaf_BH_2	fdp	0.09090909090909091	2.5	87
Leaf_BH_3	fdp	0	2.5	87
Focused_BH_original	power	11	2.5	100
Leaf_BH_1	power	7	2.5	100
Leaf_BH_2	power	10	2.5	100
Leaf_BH_3	power	7	2.5	100
Focused_BH_original	fdp	0.15384615384615385	2.5	100
Leaf_BH_1	fdp	0.2222222222222222	2.5	100
Leaf_BH_2	fdp	0.09090909090909091	2.5	100
Leaf_BH_3	fdp	0	2.5	100
Focused_BH_original	power	10	2.5	113
Leaf_BH_1	power	4	2.5	113
Leaf_BH_2	power	10	2.5	113
Leaf_BH_3	power	3	2.5	113
Focused_BH_original	fdp	0	2.5	113
Leaf_BH_1	fdp	0	2.5	113
Leaf_BH_2	fdp	0	2.5	113
Leaf_BH_3	fdp	0	2.5	113
Focused_BH_original	power	10	2.5	126
Leaf_BH_1	power	2	2.5	126
Leaf_BH_2	power	10	2.5	126
Leaf_BH_3	power	4	2.5	126
Focused_BH_original	fdp	0	2.5	126
Leaf_BH_1	fdp	0	2.5	126
Leaf_BH_2	fdp	0.09090909090909091	2.5	126
Leaf_BH_3	fdp	0	2.5	126
Focused_BH_original	power	10	2.5	139
Leaf_BH_1	power	4	2.5	139
Leaf_BH_2	power	10	2.5	139
Leaf_BH_3	power	4	2.5	139
Focused_BH_original	fdp	0.09090909090909091	2.5	139
Leaf_BH_1	fdp	0.2	2.5	139
Leaf_BH_2	fdp	0.09090909090909091	2.5	139
Leaf_BH_3	fdp	0	2.5	139
Focused_BH_original	power	12	2.5	152
Leaf_BH_1	power	4	2.5	152
Leaf_BH_2	power	10	2.5	152
Leaf_BH_3	power	5	2.5	152
Focused_BH_original	fdp	0.07692307692307693	2.5	152
Leaf_BH_1	fdp	0.2	2.5	152
Leaf_BH_2	fdp	0.09090909090909091	2.5	152
Leaf_BH_3	fdp	0	2.5	152
Focused_BH_original	power	7	2.5	165
Leaf_BH_1	power	2	2.5	165
Leaf_BH_2	power	9	2.5	165
Leaf_BH_3	power	4	2.5	165
Focused_BH_original	fdp	0.125	2.5	165
Leaf_BH_1	fdp	0.3333333333333333	2.5	165
Leaf_BH_2	fdp	0.25	2.5	165
Leaf_BH_3	fdp	0.3333333333333333	2.5	165
Focused_BH_original	power	10	2.5	178
Leaf_BH_1	power	8	2.5	178
Leaf_BH_2	power	9	2.5	178
Leaf_BH_3	power	7	2.5	178
Focused_BH_original	fdp	0.16666666666666666	2.5	178
Leaf_BH_1	fdp	0.2	2.5	178
Leaf_BH_2	fdp	0	2.5	178
Leaf_BH_3	fdp	0	2.5	178
Focused_BH_original	power	10	2.5	191
Leaf_BH_1	power	0	2.5	191
Leaf_BH_2	power	10	2.5	191
Leaf_BH_3	power	6	2.5	191
Focused_BH_original	fdp	0	2.5	191
Leaf_BH_1	fdp	0	2.5	191
Leaf_BH_2	fdp	0.2857142857142857	2.5	191
Leaf_BH_3	fdp	0.14285714285714285	2.5	191
