method	metric	value	signal_strength	rep
Yekutieli	power	0	2.5	9
Structured_Holm	power	1	2.5	9
BH	fdp	0	2.5	9
Leaf_BH	fdp	0	2.5	9
Focused_BH_original	fdp	0	2.5	9
Yekutieli	fdp	0	2.5	9
Structured_Holm	fdp	0	2.5	9
BH	power	1	2.5	22
Leaf_BH	power	1	2.5	22
Focused_BH_original	power	1	2.5	22
Yekutieli	power	0	2.5	22
Structured_Holm	power	1	2.5	22
BH	fdp	0	2.5	22
Leaf_BH	fdp	0	2.5	22
Focused_BH_original	fdp	0	2.5	22
Yekutieli	fdp	0	2.5	22
Structured_Holm	fdp	0	2.5	22
BH	power	2	2.5	35
Leaf_BH	power	4	2.5	35
Focused_BH_original	power	2	2.5	35
Yekutieli	power	0	2.5	35
Structured_Holm	power	2	2.5	35
BH	fdp	0	2.5	35
Leaf_BH	fdp	0	2.5	35
Focused_BH_original	fdp	0	2.5	35
Yekutieli	fdp	0	2.5	35
Structured_Holm	fdp	0	2.5	35
BH	power	1	2.5	48
Leaf_BH	power	1	2.5	48
Focused_BH_original	power	1	2.5	48
Yekutieli	power	0	2.5	48
Structured_Holm	power	1	2.5	48
BH	fdp	0	2.5	48
Leaf_BH	fdp	0.5	2.5	48
Focused_BH_original	fdp	0	2.5	48
Yekutieli	fdp	0	2.5	48
Structured_Holm	fdp	0	2.5	48
BH	power	3	2.5	61
Leaf_BH	power	3	2.5	61
Focused_BH_original	power	3	2.5	61
Yekutieli	power	0	2.5	61
Structured_Holm	power	1	2.5	61
BH	fdp	0	2.5	61
Leaf_BH	fdp	0	2.5	61
Focused_BH_original	fdp	0	2.5	61
Yekutieli	fdp	0	2.5	61
Structured_Holm	fdp	0	2.5	61
BH	power	0	2.5	74
Leaf_BH	power	0	2.5	74
Focused_BH_original	power	0	2.5	74
Yekutieli	power	0	2.5	74
Structured_Holm	power	0	2.5	74
BH	fdp	0	2.5	74
Leaf_BH	fdp	0	2.5	74
Focused_BH_original	fdp	0	2.5	74
Yekutieli	fdp	0	2.5	74
Structured_Holm	fdp	0	2.5	74
BH	power	4	2.5	87
Leaf_BH	power	5	2.5	87
Focused_BH_original	power	4	2.5	87
Yekutieli	power	0	2.5	87
Structured_Holm	power	3	2.5	87
BH	fdp	0	2.5	87
Leaf_BH	fdp	0	2.5	87
Focused_BH_original	fdp	0	2.5	87
Yekutieli	fdp	0	2.5	87
Structured_Holm	fdp	0	2.5	87
BH	power	7	2.5	100
Leaf_BH	power	7	2.5	100
Focused_BH_original	power	7	2.5	100
Yekutieli	power	0	2.5	100
Structured_Holm	power	4	2.5	100
BH	fdp	0.2222222222222222	2.5	100
Leaf_BH	fdp	0.2222222222222222	2.5	100
Focused_BH_original	fdp	0.2222222222222222	2.5	100
Yekutieli	fdp	0	2.5	100
Structured_Holm	fdp	0	2.5	100
BH	power	3	2.5	113
Leaf_BH	power	2	2.5	113
Focused_BH_original	power	2	2.5	113
Yekutieli	power	0	2.5	113
Structured_Holm	power	1	2.5	113
BH	fdp	0	2.5	113
Leaf_BH	fdp	0	2.5	113
Focused_BH_original	fdp	0	2.5	113
Yekutieli	fdp	0	2.5	113
Structured_Holm	fdp	0	2.5	113
BH	power	2	2.5	126
Leaf_BH	power	3	2.5	126
Focused_BH_original	power	2	2.5	126
Yekutieli	power	0	2.5	126
Structured_Holm	power	0	2.5	126
BH	fdp	0	2.5	126
Leaf_BH	fdp	0	2.5	126
Focused_BH_original	fdp	0	2.5	126
Yekutieli	fdp	0	2.5	126
Structured_Holm	fdp	0	2.5	126
BH	power	3	2.5	139
Leaf_BH	power	2	2.5	139
Focused_BH_original	power	2	2.5	139
Yekutieli	power	0	2.5	139
Structured_Holm	power	2	2.5	139
BH	fdp	0.25	2.5	139
Leaf_BH	fdp	0	2.5	139
Focused_BH_original	fdp	0	2.5	139
Yekutieli	fdp	0	2.5	139
Structured_Holm	fdp	0	2.5	139
BH	power	0	2.5	152
Leaf_BH	power	0	2.5	152
Focused_BH_original	power	0	2.5	152
Yekutieli	power	0	2.5	152
Structured_Holm	power	0	2.5	152
BH	fdp	1	2.5	152
Leaf_BH	fdp	1	2.5	152
Focused_BH_original	fdp	1	2.5	152
Yekutieli	fdp	0	2.5	152
Structured_Holm	fdp	1	2.5	152
BH	power	0	2.5	165
Leaf_BH	power	0	2.5	165
Focused_BH_original	power	0	2.5	165
Yekutieli	power	0	2.5	165
Structured_Holm	power	0	2.5	165
BH	fdp	1	2.5	165
Leaf_BH	fdp	1	2.5	165
Focused_BH_original	fdp	1	2.5	165
Yekutieli	fdp	0	2.5	165
Structured_Holm	fdp	1	2.5	165
BH	power	0	2.5	178
Leaf_BH	power	0	2.5	178
Focused_BH_original	power	0	2.5	178
Yekutieli	power	0	2.5	178
Structured_Holm	power	0	2.5	178
BH	fdp	0	2.5	178
Leaf_BH	fdp	0	2.5	178
Focused_BH_original	fdp	0	2.5	178
Yekutieli	fdp	0	2.5	178
Structured_Holm	fdp	0	2.5	178
BH	power	2	2.5	191
